Arquivo;Aba;Linha;Coluna ID;ID;Campo;Valor;Erro
Relatório de locais indicados (1).xlsx;IndicacaoLocalProva;2;IdLocalProva;68803;NumeroLogradouro;S/N.º;"N do logradouro com ""SN ou S/N"""
Relatório de locais indicados (1).xlsx;IndicacaoLocalProva;3;IdLocalProva;68805;NumeroLogradouro;S/N.º;"N do logradouro com ""SN ou S/N"""
Relatório de locais indicados (1).xlsx;IndicacaoLocalProva;4;IdLocalProva;68809;NumeroLogradouro;S/N.º;"N do logradouro com ""SN ou S/N"""
Relatório de locais indicados (1).xlsx;IndicacaoLocalProva;6;IdLocalProva;2109;NumeroLogradouro;S/N.º;"N do logradouro com ""SN ou S/N"""
Relatório de locais indicados (1).xlsx;IndicacaoLocalProva;10;IdLocalProva;2196;NumeroLogradouro;S/N.º;"N do logradouro com ""SN ou S/N"""
Relatório de locais indicados (1).xlsx;IndicacaoLocalProva;14;IdLocalProva;42057;NumeroLogradouro;S/N.º;"N do logradouro com ""SN ou S/N"""
Relatório de locais indicados (1).xlsx;IndicacaoLocalProva;15;IdLocalProva;4067;NumeroLogradouro;S/N.º;"N do logradouro com ""SN ou S/N"""
Relatório de locais indicados (1).xlsx;IndicacaoLocalProva;16;IdLocalProva;19721;NumeroLogradouro;S/N.º;"N do logradouro com ""SN ou S/N"""
Relatório de locais indicados (1).xlsx;IndicacaoLocalProva;19;IdLocalProva;68954;NumeroLogradouro;S/N.º;"N do logradouro com ""SN ou S/N"""
Relatório de locais indicados (1).xlsx;IndicacaoLocalProva;22;IdLocalProva;67159;NumeroLogradouro;S/N.º;"N do logradouro com ""SN ou S/N"""
Relatório de locais indicados (1).xlsx;IndicacaoLocalProva;29;IdLocalProva;20589;NumeroLogradouro;S/N.º;"N do logradouro com ""SN ou S/N"""
Relatório de locais indicados (1).xlsx;IndicacaoLocalProva;30;IdLocalProva;24603;NumeroLogradouro;S/N.º;"N do logradouro com ""SN ou S/N"""
Relatório de locais indicados (1).xlsx;IndicacaoLocalProva;31;IdLocalProva;59996;NumeroLogradouro;S/N.º;"N do logradouro com ""SN ou S/N"""
Relatório de locais indicados (1).xlsx;IndicacaoLocalProva;32;IdLocalProva;14235;NumeroLogradouro;S/N.º;"N do logradouro com ""SN ou S/N"""
Relatório de locais indicados (1).xlsx;IndicacaoLocalProva;34;IdLocalProva;4559;NumeroLogradouro;S/N.º;"N do logradouro com ""SN ou S/N"""
Relatório de locais indicados (1).xlsx;IndicacaoLocalProva;35;IdLocalProva;62520;NumeroLogradouro;S/N.º;"N do logradouro com ""SN ou S/N"""
Relatório de locais indicados (1).xlsx;IndicacaoLocalProva;43;IdLocalProva;68895;NumeroLogradouro;S/N.º;"N do logradouro com ""SN ou S/N"""
Relatório de locais indicados (1).xlsx;IndicacaoLocalProva;53;IdLocalProva;43893;NumeroLogradouro;S/N.º;"N do logradouro com ""SN ou S/N"""
Relatório de locais indicados (1).xlsx;IndicacaoLocalProva;57;IdLocalProva;68368;NumeroLogradouro;S/N.º;"N do logradouro com ""SN ou S/N"""
Relatório de locais indicados (1).xlsx;IndicacaoLocalProva;58;IdLocalProva;68550;NumeroLogradouro;S/N.º;"N do logradouro com ""SN ou S/N"""
Relatório de locais indicados (1).xlsx;IndicacaoLocalProva;60;IdLocalProva;68633;NumeroLogradouro;S/N.º;"N do logradouro com ""SN ou S/N"""
Relatório de locais indicados (1).xlsx;IndicacaoLocalProva;62;IdLocalProva;68743;NumeroLogradouro;S/N.º;"N do logradouro com ""SN ou S/N"""
Relatório de locais indicados (1).xlsx;IndicacaoLocalProva;66;IdLocalProva;43995;NumeroLogradouro;S/N.º;"N do logradouro com ""SN ou S/N"""
